ApiaryID,HiveID,InsptDate,Brood,Bees,Queen,Food,Stressors,Space
BBCC,H003-P2,2016-06-15,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,H003-P2,2016-07-22,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,H003-P2,2016-08-01,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,H003-P2,2016-08-08,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,H003-P2,2016-08-15,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,H003-P2,2016-08-22,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,H003-P2,2016-08-29,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,H003-P2,2016-09-08,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,H003-P2,2016-09-16,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,H003-P2,2016-09-27,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,H003-P2,2016-10-04,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,H003-P2,2016-10-11,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,H003-P2,2016-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,H003-P2,2017-03-07,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,H003-P2,2017-03-07,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,H007-NA,2016-07-28,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,H007-NA,2016-08-01,1.0,0.0,1.0,0.0,0.0,0.0
BBCC,H007-NA,2016-08-08,1.0,1.0,1.0,0.0,0.0,0.0
BBCC,H1,2017-02-08,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2016-03-18,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-03-24,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2016-06-15,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT101,2016-07-28,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-08-02,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-08-05,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-08-09,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-08-16,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2016-08-23,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2016-08-29,0.0,0.0,0.0,0.0,0.0,1.0
BBCC,HT101,2016-09-06,0.0,0.0,0.0,0.0,0.0,1.0
BBCC,HT101,2016-09-14,1.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT101,2016-09-27,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT101,2016-10-04,0.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT101,2016-10-11,1.0,1.0,1.0,0.0,0.0,0.0
BBCC,HT101,2016-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-03-07,1.0,1.0,0.0,1.0,1.0,0.0
BBCC,HT101,2017-03-07,1.0,1.0,0.0,1.0,1.0,0.0
BBCC,HT101,2017-03-24,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-03-24,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-03-29,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-03-29,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-04-04,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-04-04,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-04-10,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-04-10,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-04-21,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-04-21,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-04-28,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-04-28,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-05-02,1.0,0.5,1.0,1.0,0.0,1.0
BBCC,HT101,2017-05-02,1.0,0.5,1.0,1.0,0.0,1.0
BBCC,HT101,2017-05-08,0.0,0.0,1.0,0.0,0.0,0.0
BBCC,HT101,2017-05-08,0.0,0.0,1.0,0.0,0.0,0.0
BBCC,HT101,2017-05-10,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-05-10,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-05-25,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-05-25,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT101,2017-06-06,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-06,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-12,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-12,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-23,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-23,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-07-03,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-07-11,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-07-25,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-08-07,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT101,2017-08-18,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT101,2017-08-24,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT101,2017-08-30,1.0,1.0,1.0,1.0,0.0,1.0
